depo_kod;urun_kod;stok
9001;1000048;1
9001;1000049;46
9001;1000081;131
9001;1000082;198
9001;1000087;110
9001;1000094;846
9001;1000095;130
9001;1000096;1892
9001;1000100;522
9001;1000103;720
9001;1000113;114
9001;1000114;1952
9001;1000215;11
9001;1000298;1
9001;1000333;5
9001;1000371;2
9001;1000529;113
9001;1000540;5
9001;1000542;6
9001;1000547;2
9001;1000548;758
9001;1000585;48
9001;1000613;53
9001;1000629;1402
9001;1000630;1
9001;1000655;541
9001;1000659;34
9001;1000665;1
9001;1000666;1
9001;1000668;2
9001;1000681;2
9001;1000688;3
9001;1000689;1
9001;1000693;11
9001;1000696;2
9001;1000699;2
9001;1000702;6
9001;1000703;99
9001;1000716;6
9001;1000724;236
9001;1000725;124
9001;1000729;19
9001;1000732;30
9001;1000734;16
9001;1000735;24
9001;1000742;271
9001;1000745;38
9001;1000748;3
9001;1000753;188
9001;1000757;11
9001;1000762;20
9001;1000764;8
9001;1000767;158
9001;1000768;164
9001;1000769;214
9001;1000770;16
9001;1000771;155
9001;1000774;94
9001;1000775;191
9001;1000776;12
9001;1000778;40
9001;1000780;2
9001;1000781;220
9001;1000782;144
9001;1000787;31
9001;1000789;12
9001;1000805;270
9001;1000806;1
9001;1000807;240
9001;1000813;606
9001;1000814;1
9001;1000823;7
9001;1000824;61
9001;1000826;48
9001;1000827;153
9001;1000841;2
9001;1000842;22
9001;1000851;180
9001;1000856;6
9001;1000859;235
9001;1000865;96
9001;1000866;90
9001;1000875;96
9001;1000876;96
9001;1000885;392
9001;1000886;144
9001;1000887;1830
9001;1000888;180
9001;1000927;240
9001;1000930;121
9001;1000959;476
9001;1001039;22
9001;1001054;18
9001;1001058;17
9001;1001060;331
9001;1001062;365
9001;1001086;416
9001;1001108;2
9001;1001126;100
9001;1001136;15
9001;1001156;39
9001;1001194;263
9001;1001216;7
9001;1001224;758
9001;1001332;170
9001;1001338;382
9001;1001339;251
9001;1001341;208
9001;1001345;66
9001;1001347;185
9001;1001351;309
9001;1001352;103
9001;1001354;526
9001;1001381;348
9001;1001383;763
9001;1001385;8
9001;1001387;55
9001;1001388;242
9001;1001390;3
9001;1001394;61
9001;1001398;189
9001;1001399;186
9001;1001401;2
9001;1001402;60
9001;1001403;60
9001;1001404;6
9001;1001405;125
9001;1001409;283
9001;1001412;180
9001;1001415;7
9001;1001426;240
9001;1001432;144
9001;1001445;3
9001;1001446;72
9001;1001467;21
9001;1001469;36
9001;1001470;1
9001;1001471;38
9001;1001478;240
9001;1001482;180
9001;1001483;1
9001;1001486;120
9001;1001490;1
9001;1001492;1
9001;1001495;300
9001;1001546;1
9001;1001547;72
9001;1001548;24
9001;1001562;240
9001;1001590;2
9001;1001592;210
9001;1001606;1
9001;1001626;696
9001;1001627;936
9001;1001633;629
9001;1001636;23
9001;1001643;7
9001;1001655;310
9001;1001659;699
9001;1001660;933
9001;1001662;2343
9001;1001664;256
9001;1001668;43
9001;1001671;641
9001;1001682;1116
9001;1001683;482
9001;1001684;637
