mg_id;min_deger;max_deger;forward_cover
110101;3;20;4
110201;3;20;4
110203;3;20;4
110204;3;20;4
110205;2;20;4
110301;3;20;4
110401;3;20;4
110402;4;20;4
110801;2;20;4
110802;2;20;4
120102;2;20;2
120104;4;20;2
120105;2;20;2
120106;2;20;2
120107;2;20;2
120108;2;20;2
120109;2;20;2
120110;2;20;2
120111;2;20;2
120112;2;20;2
120113;2;20;2
120114;2;20;2
120201;2;20;2
120202;2;20;2
120203;2;20;2
120204;2;20;2
120205;2;20;2
120206;2;20;2
120207;2;20;2
120208;2;20;2
120209;2;20;2
120211;2;20;2
120401;2;20;2
120402;2;20;2
120403;2;20;2
120404;2;20;2
120405;2;20;2
120406;2;20;2
120407;2;20;2
120408;2;20;2
120409;2;20;2
120410;2;20;2
120411;2;20;2
120412;2;20;2
120413;2;20;2
120501;2;20;2
120502;2;20;2
120503;2;20;2
120504;2;20;2
120505;2;20;2
120506;2;20;2
120507;2;20;2
120508;2;20;2
120509;2;20;2
120510;2;20;2
120511;2;20;2
120512;2;20;2
120513;2;20;2
120514;2;20;2
120515;2;20;2
120516;2;20;2
120517;2;20;2
120601;2;20;2
120602;2;20;2
130401;3;20;4
130402;3;20;4
130403;3;20;4
130404;3;20;4
130601;3;20;4
130602;3;20;4
130603;3;20;4
130604;3;20;4
130605;3;20;4
130606;3;20;4
130607;3;20;4
130608;3;20;4
130609;3;20;4
140101;3;20;2
140102;3;20;2
140103;3;20;2
140301;3;20;2
140302;3;20;2
140303;3;20;2
140304;3;20;2
140305;3;20;2
140801;3;20;2
140901;3;20;2
140903;3;20;2
140904;3;20;2
141001;3;20;2
141002;3;20;2
141003;3;20;2
141004;3;20;2
141005;3;20;2
141006;3;20;2
141007;3;20;2
141008;3;20;2
141009;3;20;2
141010;3;20;2
141011;3;20;2
141201;3;20;2
141202;3;20;2
141601;3;20;2
141602;3;20;2
150101;3;20;4
150201;3;20;4
150301;3;20;4
150302;3;20;4
150303;3;20;4
150402;3;20;4
150403;3;20;4
150404;3;20;4
150601;3;20;4
150602;3;20;4
150603;3;20;4
160101;3;20;4
160102;3;20;4
160103;3;20;4
160104;3;20;4
160105;3;20;4
160106;3;20;4
160107;3;20;4
160108;3;20;4
160109;3;20;4
160110;3;20;4
160201;3;20;4
160202;3;20;4
160203;3;20;4
160204;3;20;4
160205;3;20;4
160206;3;20;4
160401;3;20;4
160402;3;20;4
160403;3;20;4
160404;3;20;4
160405;3;20;4
160406;3;20;4
160407;3;20;4
160409;3;20;4
160502;3;20;4
160503;3;20;4
160504;3;20;4
160505;3;20;4
160506;3;20;4
160507;3;20;4
160508;3;20;4
160509;3;20;4
160510;3;20;4
160511;3;20;4
160512;3;20;4
160513;3;20;4
160514;3;20;4
160515;3;20;4
160516;3;20;4
160517;3;20;4
160518;6;20;4
160519;6;20;4
160520;3;20;4
160521;3;20;4
160522;3;20;4
160523;3;20;4
160524;3;20;4
