urun_kod;satici_kod;kategori_kod;umg;mg;marka_kod;klasman_kod;nitelik;durum;ithal;olcu_birimi;koli_ici;paket_ici
1032064;10000692;14;1403;140301;1720;140301;Grup spot;Z2;2;KL;240;0
1013547;70000005;16;1605;160519;1611;160519;Regular;;1;KL;800;100
1018175;70000005;16;1605;160519;1611;160519;Regular;;1;KL;800;0
1024043;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;800;0
1024049;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;800;0
1013541;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;800;100
1024048;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;800;0
1013543;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;800;100
1013549;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;800;100
1026145;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026146;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026148;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026149;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026150;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026151;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026153;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1027612;10000059;21;2101;210103;1167;210103;Deneme;Z2;2;PAK;1100;1100
1029587;10000687;21;2101;210102;1865;210102;Regular;Z2;3;PAK;864;864
1029588;10000687;21;2101;210102;1865;210102;Regular;Z2;3;PAK;864;864
1029589;10000687;21;2101;210102;1865;210102;Regular;Z2;3;PAK;864;864
1026154;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026155;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1026156;10000653;21;2101;210103;1865;210103;Regular;Z2;3;KL;768;6
1032985;10000722;12;1202;120203;1663;120203;Sezonluk;Z2;2;KL;720;1
1032986;10000722;12;1202;120203;1663;120203;Sezonluk;Z2;2;KL;720;1
1033960;10000623;16;1605;160520;1881;160520;Regular;;2;KL;640;0
1032308;10000692;14;1403;140301;1720;140301;Grup spot;Z2;2;KL;630;0
1033954;10000623;16;1605;160519;1881;160519;Regular;;2;KL;600;0
1033958;10000623;16;1605;160519;1881;160519;Regular;;2;KL;600;0
1033959;10000623;16;1605;160519;1881;160519;Regular;;2;KL;600;0
1033975;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033974;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033973;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033972;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033976;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033977;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033988;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033990;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033991;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1033989;10000623;16;1605;160519;2013;160519;Regular;;2;KL;600;0
1016919;10000050;20;2002;200205;1300;200205;Regular;;2;KL;600;6
1018174;70000005;16;1605;160520;1611;160520;Regular;;1;KL;576;0
1018177;70000005;16;1605;160519;1611;160519;Regular;;1;KL;576;0
1018179;70000005;16;1605;160519;1611;160519;Regular;;1;KL;576;0
1019468;70000005;16;1605;160519;1611;160519;Regular;;1;KL;576;0
1019471;70000005;16;1605;160519;1611;160519;Regular;;1;KL;576;0
1024050;70000005;16;1605;160519;1611;160519;Regular;;1;KL;576;0
1011805;70000001;21;2102;210201;1533;210201;Regular;;1;KL;576;24
1011761;70000001;21;2102;210203;1533;210203;Regular;;1;KL;576;24
1032309;10000692;14;1403;140301;1720;140301;Grup spot;Z2;2;KL;576;0
1024046;70000005;16;1605;160520;1611;160520;Regular;Z2;1;KL;576;0
1024047;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;576;0
1018176;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;576;0
1018178;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;576;0
1019467;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;576;0
1019469;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;576;0
1019473;70000005;16;1605;160519;1611;160519;Regular;Z2;1;KL;576;0
1025739;10000137;20;2002;200203;1237;200203;Regular;Z2;2;KL;576;24
1032501;70000007;21;2101;210102;1544;210102;Regular;Z2;1;KL;576;24
1032505;70000007;21;2101;210102;1544;210102;Regular;Z2;1;KL;576;24
1032507;70000007;21;2101;210102;1544;210102;Regular;Z2;1;KL;576;24
1032510;70000007;21;2101;210102;1544;210102;Regular;Z2;1;KL;576;24
1032512;70000007;21;2101;210102;1544;210102;Regular;Z2;1;KL;576;24
1032515;70000007;21;2101;210102;1544;210102;Regular;Z2;1;KL;576;24
1028568;70000001;21;2104;210403;1533;210403;Regular;Z2;1;KL;576;24
1019479;70000005;16;1605;160520;1611;160520;Regular;Z2;1;KL;560;0
1025951;10000031;21;2102;210203;1871;210203;Regular;Z2;2;KL;504;504
1025955;10000031;21;2102;210203;1871;210203;Regular;Z2;2;KL;504;3
1025953;10000031;21;2102;210203;1871;210203;Regular;Z2;2;KL;504;3
1029177;10000006;13;1399;139901;1032;139901;Hediye;;2;KL;500;0
1028234;10000676;16;1604;160401;1865;160401;Regular;;3;KL;500;0
1029590;10000687;21;2101;210102;1865;210102;Regular;Z2;3;PAK;864;864
1029591;10000687;21;2101;210102;1865;210102;Regular;Z2;3;PAK;864;864
1028235;10000676;16;1604;160401;1865;160401;Regular;;3;KL;500;0
1026798;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1026800;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1026801;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1026802;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1028226;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1028227;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1028228;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1028232;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1028233;10000676;16;1605;160519;1865;160519;Regular;;3;KL;500;0
1026803;10000676;16;1605;160519;1865;160519;Regular;Z2;3;KL;500;0
1026804;10000676;16;1605;160519;1865;160519;Regular;Z2;3;KL;500;0
1026805;10000676;16;1605;160519;1865;160519;Regular;Z2;3;KL;500;0
1028229;10000676;16;1605;160519;1865;160519;Regular;Z2;3;KL;500;0
1028230;10000676;16;1605;160519;1865;160519;Regular;Z2;3;KL;500;0
1009637;10000006;16;1601;160101;1123;160101;Regular;;2;KL;480;24
1028576;70000001;21;2101;210102;1533;210102;Regular;Z2;1;KL;480;24
1021410;10000529;16;1607;160701;1447;160701;Regular;Z3;2;KL;480;0
1028865;10000020;21;2102;210202;1056;210202;Regular;Z2;2;KL;441;3
1024290;70000001;21;2102;210205;1533;210205;Regular;Z2;1;KL;432;0
1031352;10000084;12;1201;120102;1306;120102;Grup spot;;2;KL;400;20
1025771;10000137;20;2002;200217;1237;200217;Regular;Z2;2;KL;400;50
1014638;70000007;21;2102;210201;1544;210201;Regular;;1;KL;384;32
1025748;10000137;20;2002;200221;1237;200221;Regular;Z2;2;KL;384;48
1025756;10000137;20;2002;200221;1237;200221;Regular;Z2;2;KL;384;30
1000087;10000044;14;1408;140801;1141;140801;Regular;;2;KL;360;18
